,Titles,Scores,title_keywords,title_keywords_2,title_keywords_3,title_keywords_v,title_keywords_v2
10,Can we create a framework to start a testing and developing ultimate and proximate evolutionary theories in a systematic way?,4,"[('evolutionary', 0.8741), ('framework', 0.873), ('theories', 0.8669), ('ultimate', 0.8588), ('systematic', 0.8425)]","[('evolutionary theories', 0.9016), ('developing ultimate', 0.8781), ('create framework', 0.869), ('systematic', 0.8425), ('start testing', 0.8415)]","[('evolutionary theories systematic', 0.9157), ('proximate evolutionary theories', 0.9129), ('developing ultimate proximate', 0.8798), ('create framework', 0.869), ('start testing developing', 0.8635)]","[('proximate evolutionary theories', 0.9129), ('framework', 0.873), ('testing', 0.8527), ('systematic way', 0.8395)]","[('proximate evolutionary theories', 0.9129), ('framework', 0.873), ('testing', 0.8527), ('systematic way', 0.8395)]"
11,What outcomes/processes do we want to study using the generated longitudinal deep phenotyped data?,4,"[('phenotyped', 0.892), ('longitudinal', 0.872), ('processes', 0.8686), ('deep', 0.8669), ('data', 0.8663)]","[('deep phenotyped', 0.9141), ('phenotyped data', 0.9093), ('generated longitudinal', 0.8802), ('outcomes processes', 0.8798), ('study', 0.8596)]","[('longitudinal deep phenotyped', 0.9365), ('deep phenotyped data', 0.9254), ('phenotyped data', 0.9093), ('outcomes processes want', 0.8808), ('study using generated', 0.8748)]","[('longitudinal deep phenotyped data', 0.9499)]","[('longitudinal deep phenotyped data', 0.9499), ('outcomes', 0.8751), ('processes', 0.8686)]"
12,How do we distinguish ageing from disease (if possible)?,4,"[('disease', 0.9047), ('distinguish', 0.8868), ('possible', 0.8404)]","[('distinguish ageing', 0.95), ('ageing disease', 0.9343), ('disease', 0.9047), ('disease possible', 0.8962), ('distinguish', 0.8868)]","[('distinguish ageing disease', 0.9687), ('ageing disease possible', 0.9391), ('disease', 0.9047), ('distinguish', 0.8868), ('possible', 0.8404)]","[('disease', 0.9047)]","[('disease', 0.9047)]"
13,What does the minimal dataset look like that we would need to study the different aspects/trajectories of ageing?,4,"[('minimal', 0.8895), ('dataset', 0.8686), ('trajectories', 0.8506), ('aspects', 0.8415)]","[('minimal dataset', 0.9175), ('trajectories ageing', 0.8717), ('different aspects', 0.8619), ('dataset look', 0.8619), ('need study', 0.8281)]","[('does minimal dataset', 0.9211), ('dataset look like', 0.8825), ('aspects trajectories ageing', 0.8682), ('need study different', 0.8559), ('does', 0.835)]","[('minimal dataset', 0.9175)]","[('minimal dataset', 0.9175), ('different aspects', 0.8619), ('trajectories', 0.8506)]"
14,How to measure outcomes and processes (which techniques) to capture different aspects of the ageing process? ,4,"[('processes', 0.8849), ('outcomes', 0.8845), ('measure', 0.872), ('aspects', 0.8653)]","[('measure outcomes', 0.9033), ('ageing process', 0.9023), ('processes techniques', 0.8914), ('different aspects', 0.8802), ('techniques capture', 0.8696)]","[('measure outcomes processes', 0.9267), ('ageing process', 0.9023), ('techniques capture different', 0.9014), ('different aspects ageing', 0.9012), ('processes techniques', 0.8914)]","[('ageing process', 0.9023), ('processes', 0.8849), ('outcomes', 0.8845), ('different aspects', 0.8802), ('techniques', 0.8758)]","[('processes', 0.8849), ('outcomes', 0.8845), ('different aspects', 0.8802), ('process', 0.88)]"
15,What is the effect of sexual dimorphism and ethnicity on different aspects of ageing?,4,"[('dimorphism', 0.8984), ('ethnicity', 0.8914), ('effect', 0.8822), ('sexual', 0.8745)]","[('dimorphism ethnicity', 0.9252), ('sexual dimorphism', 0.919), ('effect sexual', 0.9059), ('aspects ageing', 0.8881), ('different', 0.8678)]","[('sexual dimorphism ethnicity', 0.9403), ('effect sexual dimorphism', 0.9381), ('different aspects ageing', 0.9125), ('ethnicity different', 0.8992), ('effect', 0.8822)]","[('sexual dimorphism', 0.919), ('ethnicity', 0.8914), ('different aspects', 0.8868), ('effect', 0.8822)]","[('sexual dimorphism', 0.919), ('ethnicity', 0.8914), ('different aspects', 0.8868), ('effect', 0.8822)]"
16,How we can we better make use of all the data and biobanked samples that have already been collected worldwide (sharing/processing)?,4,"[('biobanked', 0.9155), ('processing', 0.8757), ('sharing', 0.875), ('use', 0.8684), ('data', 0.8681)]","[('data biobanked', 0.9254), ('sharing processing', 0.8925), ('make use', 0.875), ('worldwide', 0.8684), ('better', 0.8454)]","[('use data biobanked', 0.9476), ('worldwide sharing processing', 0.9075), ('samples collected worldwide', 0.9012), ('make use data', 0.8981), ('better make', 0.8542)]","[('biobanked samples', 0.9166), ('use', 0.8684), ('data', 0.8681)]","[('biobanked samples', 0.9166), ('processing', 0.8757), ('sharing', 0.875), ('use', 0.8684), ('data', 0.8681)]"
17,"How to bring scientist from different fields (and which ones) together to collect, analyse, and interpret data?",4,"[('different', 0.8699), ('scientist', 0.8637), ('analyse', 0.8629), ('collect', 0.856), ('bring', 0.8349)]","[('bring scientist', 0.8939), ('different fields', 0.8712), ('analyse interpret', 0.8636), ('ones collect', 0.8522), ('data', 0.8464)]","[('bring scientist different', 0.9195), ('analyse interpret data', 0.8834), ('fields ones collect', 0.8604), ('data', 0.8464), ('ones', 0.8415)]","[('different fields', 0.8712), ('scientist', 0.8637), ('data', 0.8464), ('ones', 0.8415)]","[('different fields', 0.8712), ('scientist', 0.8637), ('analyse', 0.8629), ('data', 0.8464), ('ones', 0.8415)]"
18,"How to best integrate and statistically analyse the deep phenotyped data, i.e. what are the best tools (including AI)?",4,"[('statistically', 0.8813), ('phenotyped', 0.8793), ('integrate', 0.8718), ('deep', 0.8675), ('tools', 0.8486)]","[('analyse deep', 0.9072), ('phenotyped data', 0.9027), ('best integrate', 0.8872), ('statistically', 0.8813), ('tools', 0.8486)]","[('analyse deep phenotyped', 0.9309), ('best integrate statistically', 0.9129), ('phenotyped data best', 0.9101), ('tools including ai', 0.8968), ('data', 0.8683)]","[('deep phenotyped data', 0.9124), ('ai', 0.8719), ('best tools', 0.8674)]","[('deep phenotyped data', 0.9124), ('ai', 0.8719), ('best tools', 0.8674)]"
19,How can we optimise sharing of materials and (available) data (overcoming regulatory hurdles and crowd sourcing)?,4,"[('optimise', 0.8814), ('sharing', 0.8813), ('materials', 0.8707), ('crowd', 0.847), ('data', 0.8435)]","[('optimise sharing', 0.9172), ('crowd sourcing', 0.8754), ('materials available', 0.8745), ('regulatory', 0.8488), ('data overcoming', 0.8483)]","[('optimise sharing materials', 0.9478), ('sourcing', 0.8678), ('regulatory hurdles crowd', 0.8638), ('available data', 0.8619), ('overcoming', 0.8311)]","[('sharing', 0.8813), ('crowd sourcing', 0.8754), ('materials', 0.8707), ('data', 0.8435), ('regulatory hurdles', 0.8386)]","[('sharing', 0.8813), ('materials', 0.8707), ('crowd', 0.847), ('data', 0.8435), ('regulatory hurdles', 0.8386)]"
20,"How can we validate predictions made by AI-tools (not only conceptually, but especially practically)?",4,"[('validate', 0.8961), ('predictions', 0.8845), ('ai', 0.8667), ('tools', 0.8541), ('practically', 0.8458)]","[('validate predictions', 0.9276), ('predictions ai', 0.908), ('ai tools', 0.9027), ('conceptually', 0.8596), ('especially practically', 0.8466)]","[('validate predictions ai', 0.9511), ('ai tools', 0.9027), ('validate', 0.8961), ('tools conceptually especially', 0.8748), ('practically', 0.8458)]","[('predictions', 0.8845)]","[('predictions', 0.8845), ('ai', 0.8667), ('tools', 0.8541)]"
21,How to integrate the data obtained from studies in non-human animals?,4,"[('integrate', 0.8854), ('data', 0.8778), ('studies', 0.877), ('human', 0.8745), ('non', 0.8632)]","[('integrate data', 0.9252), ('non human', 0.885), ('data', 0.8778), ('obtained studies', 0.8777), ('animals', 0.876)]","[('integrate data obtained', 0.9303), ('studies non human', 0.9097), ('data', 0.8778), ('obtained studies', 0.8777), ('animals', 0.876)]","[('data', 0.8778), ('studies', 0.877)]","[('non - human animals', 0.8984), ('data', 0.8778), ('studies', 0.877)]"
22,Which gene variants are antagonistic(pos/neg/neutr) pleiotropic?,4,"[('pleiotropic', 0.9224), ('antagonistic', 0.9105), ('neg', 0.8864), ('variants', 0.8752), ('gene', 0.8612)]","[('variants antagonistic', 0.9323), ('neutr pleiotropic', 0.9258), ('antagonistic pos', 0.9237), ('pos neg', 0.8858), ('gene', 0.8612)]","[('gene variants antagonistic', 0.9539), ('neg neutr pleiotropic', 0.9386), ('antagonistic pos neg', 0.9335), ('pleiotropic', 0.9224), ('gene', 0.8612)]","[('gene variants', 0.8897)]","[('antagonistic(pos', 0.9336), ('pleiotropic', 0.9224), ('gene variants', 0.8897), ('neg', 0.8864), ('neutr', 0.87)]"
23,What age related changes are associated with many ARDs? ,4,"[('ards', 0.9139), ('age', 0.8829), ('changes', 0.8568), ('associated', 0.8412), ('related', 0.8316)]","[('associated ards', 0.9218), ('ards', 0.9139), ('age related', 0.9104), ('related changes', 0.8865), ('changes', 0.8568)]","[('changes associated ards', 0.9488), ('associated ards', 0.9218), ('ards', 0.9139), ('age related', 0.9104), ('related changes associated', 0.8929)]","[('many ards', 0.9142), ('related changes', 0.8865), ('age', 0.8829)]","[('many ards', 0.9142), ('age', 0.8829), ('changes', 0.8568)]"
24,How to perform in-vitro experiments in human tissue to find cause and effect,4,"[('experiments', 0.8985), ('vitro', 0.8896), ('tissue', 0.8842), ('cause', 0.878), ('perform', 0.8585)]","[('vitro experiments', 0.9219), ('tissue cause', 0.9003), ('human', 0.8692), ('effect', 0.8674), ('perform', 0.8585)]","[('experiments human tissue', 0.9342), ('perform vitro experiments', 0.9339), ('tissue cause', 0.9003), ('cause effect', 0.8894), ('human', 0.8692)]","[('human tissue', 0.9045), ('experiments', 0.8985), ('cause', 0.878)]","[('human tissue', 0.9045), ('experiments', 0.8985), ('cause', 0.878)]"
25,What are common tissue independent aging signatures/mechanisms vs. tissue specific signatures?,4,"[('tissue', 0.8848), ('signatures', 0.8742), ('independent', 0.8566), ('common', 0.8552)]","[('tissue specific', 0.913), ('aging signatures', 0.9088), ('mechanisms vs', 0.8736), ('independent', 0.8566), ('common', 0.8552)]","[('tissue specific signatures', 0.9407), ('aging signatures mechanisms', 0.9231), ('common tissue independent', 0.9204), ('independent aging', 0.8955), ('mechanisms vs', 0.8736)]","[('specific signatures', 0.8969), ('common tissue', 0.8931), ('tissue', 0.8848)]","[('specific signatures', 0.8969), ('common tissue', 0.8931), ('tissue', 0.8848), ('signatures', 0.8742), ('mechanisms', 0.851)]"
26,How does antagonistic pleiotropy contribute to age-related diseases?,4,"[('pleiotropy', 0.8936), ('antagonistic', 0.8919), ('diseases', 0.8714), ('age', 0.8517), ('contribute', 0.8072)]","[('antagonistic pleiotropy', 0.9339), ('pleiotropy contribute', 0.9086), ('age related', 0.8869), ('diseases', 0.8714), ('contribute age', 0.847)]","[('antagonistic pleiotropy contribute', 0.9463), ('pleiotropy contribute age', 0.9307), ('does antagonistic pleiotropy', 0.9301), ('age related diseases', 0.9084), ('does', 0.808)]","[('antagonistic pleiotropy', 0.9339)]","[('antagonistic pleiotropy', 0.9339), ('diseases', 0.8714), ('age', 0.8517)]"
27,Do we have accurate biomarkers of aging? ,4,"[('biomarkers', 0.9175), ('accurate', 0.8683)]","[('biomarkers aging', 0.9548), ('accurate biomarkers', 0.9432), ('biomarkers', 0.9175), ('accurate', 0.8683)]","[('accurate biomarkers aging', 0.9774), ('biomarkers aging', 0.9548), ('accurate biomarkers', 0.9432), ('biomarkers', 0.9175)]","[('accurate biomarkers', 0.9432)]","[('accurate biomarkers', 0.9432)]"
28,Do we have aging rate indicators?,4,"[('indicators', 0.8765), ('rate', 0.8637)]","[('rate indicators', 0.9148), ('aging rate', 0.9144), ('indicators', 0.8765), ('rate', 0.8637)]","[('aging rate indicators', 0.9712), ('rate indicators', 0.9148), ('aging rate', 0.9144), ('indicators', 0.8765)]","[('aging rate indicators', 0.9712)]","[('rate indicators', 0.9148)]"
29,What is the basis for sex and genotype-specific differences in response to different anti-aging interventions?,4,"[('sex', 0.8974), ('specific', 0.8592), ('interventions', 0.8548), ('anti', 0.853)]","[('sex genotype', 0.9163), ('anti aging', 0.8976), ('specific differences', 0.882), ('interventions', 0.8548), ('basis', 0.8241)]","[('sex genotype specific', 0.9329), ('anti aging interventions', 0.9096), ('differences', 0.8775), ('response different anti', 0.8681), ('basis', 0.8241)]","[('sex', 0.8974), ('response', 0.8295), ('basis', 0.8241)]","[('different anti - aging interventions', 0.9211), ('sex', 0.8974), ('genotype', 0.886), ('specific differences', 0.882), ('response', 0.8295)]"
30,What is the best timing/duration/dosage or intervention window for different treatments? ,4,"[('treatments', 0.9061), ('dosage', 0.8999), ('timing', 0.8991), ('window', 0.8721), ('different', 0.8717)]","[('best timing', 0.9269), ('different treatments', 0.9185), ('intervention window', 0.9125), ('duration dosage', 0.9107), ('window different', 0.8847)]","[('best timing duration', 0.9378), ('window different treatments', 0.9223), ('intervention window', 0.9125), ('dosage intervention', 0.8955), ('different', 0.8717)]","[('different treatments', 0.9185), ('intervention window', 0.9125)]","[('best timing', 0.9269), ('different treatments', 0.9185), ('intervention window', 0.9125), ('dosage', 0.8999), ('duration', 0.8929)]"
31,How conserved across species are longevity interventions?,4,"[('conserved', 0.8847), ('interventions', 0.8777), ('species', 0.854)]","[('longevity interventions', 0.9332), ('species longevity', 0.9167), ('conserved species', 0.9009), ('interventions', 0.8777)]","[('conserved species longevity', 0.9485), ('species longevity interventions', 0.9469), ('longevity interventions', 0.9332), ('interventions', 0.8777)]","[('longevity interventions', 0.9332), ('species', 0.854)]","[('longevity interventions', 0.9332), ('species', 0.854)]"
32,How can we incentivize publication of negative results?/,4,"[('incentivize', 0.9032), ('negative', 0.8861), ('publication', 0.8783), ('results', 0.8485)]","[('incentivize publication', 0.9417), ('publication negative', 0.9135), ('incentivize', 0.9032), ('negative results', 0.8889), ('publication', 0.8783)]","[('incentivize publication negative', 0.9631), ('publication negative results', 0.9225), ('incentivize', 0.9032), ('publication', 0.8783), ('results', 0.8485)]","[('negative results?/', 0.8937), ('publication', 0.8783)]","[('negative results?/', 0.8937), ('publication', 0.8783)]"
33,What is the best design for intervention study in humans?,4,"[('intervention', 0.9185), ('design', 0.9065), ('study', 0.9032), ('humans', 0.8782), ('best', 0.8708)]","[('intervention study', 0.9476), ('design intervention', 0.9348), ('study', 0.9032), ('best design', 0.9024), ('humans', 0.8782)]","[('design intervention study', 0.9568), ('intervention study humans', 0.9525), ('best design intervention', 0.9506), ('humans', 0.8782), ('best', 0.8708)]","[('intervention study', 0.9476), ('best design', 0.9024), ('humans', 0.8782)]","[('intervention study', 0.9476), ('best design', 0.9024), ('humans', 0.8782)]"
34,Are there shorter (<5 years) studies which can provide meaningful information about intervention efficacy?,4,"[('intervention', 0.8927), ('efficacy', 0.8908), ('shorter', 0.8849), ('studies', 0.8717), ('years', 0.8709)]","[('intervention efficacy', 0.9188), ('shorter years', 0.9079), ('years studies', 0.8896), ('studies provide', 0.8759), ('meaningful', 0.8415)]","[('shorter years studies', 0.9217), ('intervention efficacy', 0.9188), ('studies provide meaningful', 0.8787), ('meaningful information intervention', 0.8775), ('information', 0.8359)]","[('intervention efficacy', 0.9188), ('studies', 0.8717), ('years', 0.8709), ('meaningful information', 0.8502)]","[('intervention efficacy', 0.9188), ('studies', 0.8717), ('years', 0.8709), ('meaningful information', 0.8502)]"
35,What non-pharmacological interventions are promising and how can we develop new ones?,4,"[('pharmacological', 0.917), ('interventions', 0.9009), ('promising', 0.896), ('non', 0.8922), ('new', 0.8869)]","[('non pharmacological', 0.9374), ('interventions promising', 0.9355), ('pharmacological interventions', 0.934), ('develop new', 0.8948), ('ones', 0.8649)]","[('non pharmacological interventions', 0.9597), ('pharmacological interventions promising', 0.9589), ('interventions promising develop', 0.9265), ('promising develop new', 0.9101), ('ones', 0.8649)]","[('new ones', 0.8921)]","[('non - pharmacological interventions', 0.9617), ('new ones', 0.8921)]"
36,How can we test whether drugs given to mice make them younger (as opposed to retarding rate)? ,4,"[('retarding', 0.8954), ('drugs', 0.8796), ('younger', 0.8728), ('test', 0.8717), ('mice', 0.8712)]","[('retarding', 0.8954), ('make younger', 0.8875), ('test drugs', 0.8854), ('given mice', 0.8627), ('rate', 0.8501)]","[('mice make younger', 0.9148), ('retarding', 0.8954), ('test drugs given', 0.8922), ('given mice', 0.8627), ('rate', 0.8501)]","[('drugs', 0.8796), ('mice', 0.8712), ('rate', 0.8501)]","[('drugs', 0.8796), ('mice', 0.8712), ('rate', 0.8501)]"
37,How can we boost support from govermental/regulatory agencies to translate hits from pre-clinical research to human trials?,4,"[('govermental', 0.8789), ('support', 0.8694), ('human', 0.8619), ('trials', 0.8521), ('hits', 0.8513)]","[('support govermental', 0.9019), ('human trials', 0.8819), ('boost', 0.8654), ('hits pre', 0.8581), ('agencies translate', 0.8429)]","[('boost support govermental', 0.9125), ('human trials', 0.8819), ('agencies translate hits', 0.8633), ('regulatory agencies', 0.8616), ('hits pre', 0.8581)]","[('human trials', 0.8819), ('support', 0.8694), ('hits', 0.8513)]","[('pre - clinical research', 0.8862), ('human trials', 0.8819), ('govermental', 0.8789), ('support', 0.8694), ('regulatory agencies', 0.8616)]"
38,How do help animal model researchers adopt precision medicine approaches and use genetic/genomics to partition key findings by genotype. Pharmacogenetics matters.,4,"[('pharmacogenetics', 0.9089), ('animal', 0.8826), ('approaches', 0.8666), ('precision', 0.8547), ('help', 0.8477)]","[('pharmacogenetics', 0.9089), ('help animal', 0.8937), ('approaches use', 0.8729), ('model researchers', 0.8613), ('partition key', 0.8572)]","[('help animal model', 0.9144), ('genotype pharmacogenetics matters', 0.9049), ('researchers adopt precision', 0.8948), ('medicine approaches', 0.8861), ('partition key findings', 0.8627)]","[('precision medicine approaches', 0.912), ('pharmacogenetics matters', 0.9034), ('animal model researchers', 0.8995), ('genotype', 0.8572), ('key findings', 0.8517)]","[('precision medicine approaches', 0.912), ('pharmacogenetics', 0.9089), ('animal model researchers', 0.8995), ('genomics', 0.8702), ('genotype', 0.8572)]"
39,"How do we get animal experimentalists, computational biologists (etc.) to talk to clinicians and vice versa and build a common language? Encourage bidirectional translation",4,"[('animal', 0.8755), ('translation', 0.875), ('bidirectional', 0.8655), ('computational', 0.8594), ('common', 0.8418)]","[('bidirectional translation', 0.8909), ('animal experimentalists', 0.8893), ('computational biologists', 0.8692), ('talk clinicians', 0.8651), ('build common', 0.8342)]","[('animal experimentalists computational', 0.9021), ('encourage bidirectional translation', 0.8961), ('talk clinicians vice', 0.8714), ('common language', 0.8663), ('versa build', 0.8336)]","[('encourage bidirectional translation', 0.8961), ('animal experimentalists', 0.8893), ('computational biologists', 0.8692), ('common language', 0.8663), ('clinicians', 0.8536)]","[('bidirectional translation', 0.8909), ('animal experimentalists', 0.8893), ('computational biologists', 0.8692), ('common language', 0.8663), ('clinicians', 0.8536)]"
40,How do we perform multi-drug interventions in models and then in humans?,4,"[('multi', 0.8907), ('drug', 0.8805), ('interventions', 0.8736), ('models', 0.8525), ('perform', 0.8422)]","[('multi drug', 0.9188), ('drug interventions', 0.9066), ('interventions models', 0.8785), ('humans', 0.8553), ('perform', 0.8422)]","[('multi drug interventions', 0.9484), ('perform multi', 0.9157), ('interventions models', 0.8785), ('models humans', 0.8707), ('perform', 0.8422)]","[('humans', 0.8553), ('models', 0.8525)]","[('multi - drug interventions', 0.9521), ('humans', 0.8553), ('models', 0.8525)]"
41,"How do we design and implement SOPs (clinical trial design, etc.) across the tree of life?",4,"[('sops', 0.912), ('trial', 0.868), ('tree', 0.8632), ('implement', 0.8534), ('life', 0.8394)]","[('implement sops', 0.9249), ('sops clinical', 0.9183), ('trial design', 0.896), ('clinical', 0.8603), ('tree life', 0.854)]","[('implement sops clinical', 0.9367), ('design implement sops', 0.9207), ('sops', 0.912), ('clinical trial design', 0.9021), ('design tree life', 0.8632)]","[('sops', 0.912), ('clinical trial design', 0.9021), ('tree', 0.8632), ('life', 0.8394)]","[('sops', 0.912), ('clinical trial design', 0.9021), ('tree', 0.8632), ('life', 0.8394)]"
42,How can we design animal interventions that model the real world without confounding of work?,4,"[('confounding', 0.9017), ('animal', 0.8883), ('interventions', 0.8873), ('design', 0.87), ('work', 0.8366)]","[('animal interventions', 0.9201), ('confounding work', 0.8974), ('design', 0.87), ('real world', 0.8668), ('model', 0.8591)]","[('design animal interventions', 0.9316), ('real world confounding', 0.9048), ('animal', 0.8883), ('model', 0.8591), ('work', 0.8366)]","[('animal interventions', 0.9201), ('confounding', 0.9017), ('real world', 0.8668), ('work', 0.8366)]","[('animal interventions', 0.9201), ('real world', 0.8668), ('work', 0.8366)]"
43,What mechanisms determine longevity of long-lived species? ,4,"[('mechanisms', 0.8875), ('long', 0.8789), ('species', 0.8671), ('determine', 0.8268)]","[('longevity long', 0.9241), ('determine longevity', 0.9194), ('mechanisms determine', 0.9011), ('lived species', 0.8959), ('species', 0.8671)]","[('mechanisms determine longevity', 0.9644), ('determine longevity long', 0.9316), ('long lived species', 0.9227), ('longevity long lived', 0.921), ('determine', 0.8268)]","[('mechanisms', 0.8875)]","[('mechanisms', 0.8875), ('species', 0.8671)]"
44,What mechanisms determine resistance to disease?,4,"[('resistance', 0.916), ('mechanisms', 0.9065), ('disease', 0.8925), ('determine', 0.8446)]","[('resistance disease', 0.9343), ('determine resistance', 0.9245), ('resistance', 0.916), ('mechanisms', 0.9065), ('disease', 0.8925)]","[('mechanisms determine resistance', 0.9644), ('resistance disease', 0.9343), ('mechanisms', 0.9065), ('disease', 0.8925), ('determine', 0.8446)]","[('resistance', 0.916), ('mechanisms', 0.9065), ('disease', 0.8925)]","[('resistance', 0.916), ('mechanisms', 0.9065), ('disease', 0.8925)]"
