,Titles,Scores,title_keywords
15,What is the effect of sexual dimorphism and ethnicity on different aspects of ageing?,4,"[('dimorphism', 0.8984), ('ethnicity', 0.8914), ('effect', 0.8822), ('sexual', 0.8745)]"
16,How we can we better make use of all the data and biobanked samples that have already been collected worldwide (sharing/processing)?,4,"[('biobanked', 0.9155), ('processing', 0.8757), ('sharing', 0.875), ('use', 0.8684), ('data', 0.8681)]"
17,"How to bring scientist from different fields (and which ones) together to collect, analyse, and interpret data?",4,"[('different', 0.8699), ('scientist', 0.8637), ('analyse', 0.8629), ('collect', 0.856), ('bring', 0.8349)]"
18,"How to best integrate and statistically analyse the deep phenotyped data, i.e. what are the best tools (including AI)?",4,"[('statistically', 0.8813), ('phenotyped', 0.8793), ('integrate', 0.8718), ('deep', 0.8675), ('tools', 0.8486)]"
19,How can we optimise sharing of materials and (available) data (overcoming regulatory hurdles and crowd sourcing)?,4,"[('optimise', 0.8814), ('sharing', 0.8813), ('materials', 0.8707), ('crowd', 0.847), ('data', 0.8435)]"
20,"How can we validate predictions made by AI-tools (not only conceptually, but especially practically)?",4,"[('validate', 0.8961), ('predictions', 0.8845), ('ai', 0.8667), ('tools', 0.8541), ('practically', 0.8458)]"
21,How to integrate the data obtained from studies in non-human animals?,4,"[('integrate', 0.8854), ('data', 0.8778), ('studies', 0.877), ('human', 0.8745), ('non', 0.8632)]"
22,Which gene variants are antagonistic(pos/neg/neutr) pleiotropic?,4,"[('pleiotropic', 0.9224), ('antagonistic', 0.9105), ('neg', 0.8864), ('variants', 0.8752), ('gene', 0.8612)]"
23,What age related changes are associated with many ARDs? ,4,"[('ards', 0.9139), ('age', 0.8829), ('changes', 0.8568), ('associated', 0.8412), ('related', 0.8316)]"
24,How to perform in-vitro experiments in human tissue to find cause and effect,4,"[('experiments', 0.8985), ('vitro', 0.8896), ('tissue', 0.8842), ('cause', 0.878), ('perform', 0.8585)]"
25,What are common tissue independent aging signatures/mechanisms vs. tissue specific signatures?,4,"[('tissue', 0.8848), ('signatures', 0.8742), ('independent', 0.8566), ('common', 0.8552)]"
26,How does antagonistic pleiotropy contribute to age-related diseases?,4,"[('pleiotropy', 0.8936), ('antagonistic', 0.8919), ('diseases', 0.8714), ('age', 0.8517), ('contribute', 0.8072)]"
27,Do we have accurate biomarkers of aging? ,4,"[('biomarkers', 0.9175), ('accurate', 0.8683)]"
28,Do we have aging rate indicators?,4,"[('indicators', 0.8765), ('rate', 0.8637)]"
29,What is the basis for sex and genotype-specific differences in response to different anti-aging interventions?,4,"[('sex', 0.8974), ('specific', 0.8592), ('interventions', 0.8548), ('anti', 0.853)]"
30,What is the best timing/duration/dosage or intervention window for different treatments? ,4,"[('treatments', 0.9061), ('dosage', 0.8999), ('timing', 0.8991), ('window', 0.8721), ('different', 0.8717)]"
31,How conserved across species are longevity interventions?,4,"[('conserved', 0.8847), ('interventions', 0.8777), ('species', 0.854)]"
32,How can we incentivize publication of negative results?/,4,"[('incentivize', 0.9032), ('negative', 0.8861), ('publication', 0.8783), ('results', 0.8485)]"
33,What is the best design for intervention study in humans?,4,"[('intervention', 0.9185), ('design', 0.9065), ('study', 0.9032), ('humans', 0.8782), ('best', 0.8708)]"
34,Are there shorter (<5 years) studies which can provide meaningful information about intervention efficacy?,4,"[('intervention', 0.8927), ('efficacy', 0.8908), ('shorter', 0.8849), ('studies', 0.8717), ('years', 0.8709)]"
35,What non-pharmacological interventions are promising and how can we develop new ones?,4,"[('pharmacological', 0.917), ('interventions', 0.9009), ('promising', 0.896), ('non', 0.8922), ('new', 0.8869)]"
36,How can we test whether drugs given to mice make them younger (as opposed to retarding rate)? ,4,"[('retarding', 0.8954), ('drugs', 0.8796), ('younger', 0.8728), ('test', 0.8717), ('mice', 0.8712)]"
37,How can we boost support from govermental/regulatory agencies to translate hits from pre-clinical research to human trials?,4,"[('govermental', 0.8789), ('support', 0.8694), ('human', 0.8619), ('trials', 0.8521), ('hits', 0.8513)]"
38,How do help animal model researchers adopt precision medicine approaches and use genetic/genomics to partition key findings by genotype. Pharmacogenetics matters.,4,"[('pharmacogenetics', 0.9089), ('animal', 0.8826), ('approaches', 0.8666), ('precision', 0.8547), ('help', 0.8477)]"
39,"How do we get animal experimentalists, computational biologists (etc.) to talk to clinicians and vice versa and build a common language? Encourage bidirectional translation",4,"[('animal', 0.8755), ('translation', 0.875), ('bidirectional', 0.8655), ('computational', 0.8594), ('common', 0.8418)]"
40,How do we perform multi-drug interventions in models and then in humans?,4,"[('multi', 0.8907), ('drug', 0.8805), ('interventions', 0.8736), ('models', 0.8525), ('perform', 0.8422)]"
41,"How do we design and implement SOPs (clinical trial design, etc.) across the tree of life?",4,"[('sops', 0.912), ('trial', 0.868), ('tree', 0.8632), ('implement', 0.8534), ('life', 0.8394)]"
42,How can we design animal interventions that model the real world without confounding of work?,4,"[('confounding', 0.9017), ('animal', 0.8883), ('interventions', 0.8873), ('design', 0.87), ('work', 0.8366)]"
43,What mechanisms determine longevity of long-lived species? ,4,"[('mechanisms', 0.8875), ('long', 0.8789), ('species', 0.8671), ('determine', 0.8268)]"
44,What mechanisms determine resistance to disease?,4,"[('resistance', 0.916), ('mechanisms', 0.9065), ('disease', 0.8925), ('determine', 0.8446)]"
45,Are there common multi-omics profiles of longevity?,4,"[('omics', 0.8766), ('profiles', 0.8706), ('multi', 0.861), ('common', 0.8398)]"
46,Do birds and mammals have universal aging patterns?,4,"[('universal', 0.8768), ('mammals', 0.8629), ('birds', 0.8584), ('patterns', 0.8417)]"
47,What genes and pathways must be targeted to extend lifespan and healthspan? Identify most important genes. ,4,"[('lifespan', 0.9003), ('healthspan', 0.8948), ('genes', 0.8848), ('pathways', 0.874), ('targeted', 0.8682)]"
48,What small molecules or lifespan interventions can mimic longevity signature?,4,"[('signature', 0.8944), ('molecules', 0.866), ('interventions', 0.8654), ('small', 0.8304)]"
49,What are the causal hallmarks of aging? ,4,"[('hallmarks', 0.9054), ('causal', 0.8974)]"
50,Is epigenetic drift the cause of aging?,4,"[('drift', 0.913), ('epigenetic', 0.8995), ('cause', 0.8898)]"
51,"We need to understand what we die of, what are the main fragilities that cause death , what we need to fix",4,"[('fragilities', 0.9115), ('cause', 0.9109), ('death', 0.8969), ('fix', 0.8925), ('understand', 0.8543)]"
52,We need to understand the resilience factors that allow us to reach our current lifespan! focus on protective rather than risk factors,4,"[('resilience', 0.9269), ('lifespan', 0.8943), ('factors', 0.878), ('protective', 0.8771), ('risk', 0.8656)]"
53,"We need to have a systems biology model of aging to underrated human biology, to understand human differences",4,"[('systems', 0.8801), ('biology', 0.8778), ('underrated', 0.8729), ('understand', 0.8398)]"
54,"We need to understand the relationship between max/median lifespan and healthspan and sick span, and natural decline, from human data",4,"[('lifespan', 0.8969), ('sick', 0.8672), ('max', 0.8665), ('data', 0.8402), ('understand', 0.838)]"
55,We need to understand the impact of social emotional factors on human healthspan,4,"[('emotional', 0.8998), ('social', 0.8944), ('healthspan', 0.8827), ('human', 0.8753), ('factors', 0.862)]"
56,We need to understand germline rejuvenation,4,"[('rejuvenation', 0.9275), ('germline', 0.9202), ('understand', 0.8369), ('need', 0.8178)]"
57,We need to establish broad effective human trial network,4,"[('trial', 0.8855), ('network', 0.881), ('effective', 0.8712), ('human', 0.8544), ('broad', 0.854)]"
58,We need individualized biomarkers to predict each persons fragilities and guide treatment,4,"[('biomarkers', 0.9108), ('fragilities', 0.9063), ('individualized', 0.8766), ('treatment', 0.8687), ('predict', 0.8314)]"
59,We need to consider a flagship project or trial that the field can get behind and support - to transform public opinion on the possibility of extending lifespan and healthspan,4,"[('flagship', 0.9006), ('healthspan', 0.8856), ('lifespan', 0.8772), ('extending', 0.861), ('trial', 0.8571)]"
60,What molecular and cellular processes modulate the pace of aging in mammals?,4,"[('pace', 0.883), ('processes', 0.8742), ('mammals', 0.8603), ('modulate', 0.8542)]"
61,"Can we develop screens for anti-aging efficacy that will work in people (and mice), but whose effects do not require 5 - 40 years to measure in people?",4,"[('efficacy', 0.8753), ('mice', 0.858), ('screens', 0.8432), ('require', 0.8395)]"
62,What is the added value of non-lifestyle-related interventions on top of lifestyle in humans and how to best measure their effectiveness?,4,"[('interventions', 0.9012), ('lifestyle', 0.8814), ('humans', 0.8806), ('non', 0.877), ('related', 0.856)]"
63,What is the epistatic contribution of different mechanisms to human ageing?,4,"[('epistatic', 0.9151), ('mechanisms', 0.8701), ('human', 0.854), ('contribution', 0.8421)]"
64,Which mechanisms are essential for ageing across a wide variety of model organisms and can realistically be adapted in humans?,4,"[('mechanisms', 0.8845), ('humans', 0.87), ('essential', 0.85), ('realistically', 0.8412)]"
65,How to measure the extent of the homeodynmaic space,4,"[('homeodynmaic', 0.9116), ('measure', 0.8732), ('extent', 0.863), ('space', 0.8538)]"
66,How to measure the pace of the shrinkage of the homeodynamic space.,4,"[('shrinkage', 0.8875), ('homeodynamic', 0.8815), ('measure', 0.862), ('pace', 0.8538), ('space', 0.8321)]"
67,How does the body compensate and adapt to any age-related change.,4,"[('compensate', 0.8997), ('adapt', 0.8969), ('body', 0.8809), ('age', 0.8768), ('change', 0.8511)]"
68,how to translate biology of ageing into accurate biomarkers of aging,4,"[('biomarkers', 0.9046), ('biology', 0.8753), ('accurate', 0.8524), ('translate', 0.8372)]"
69,How to break the glass ceiling of 120 years,4,"[('glass', 0.8767), ('ceiling', 0.8679), ('years', 0.8576), ('120', 0.8445), ('break', 0.8432)]"
70,What are the genetic causes (genes and DNA variants) that contribute to natural variation in aging rates ,4,"[('causes', 0.9097), ('genetic', 0.8945), ('variation', 0.8761), ('natural', 0.8582)]"
71,To what extent are causes of natural variation in aging rates modulated by environment and gene-by-environmental interactions,4,"[('causes', 0.8909), ('variation', 0.8806), ('natural', 0.8682), ('modulated', 0.8368)]"
72,How to measure intrinsic biological age in individual humans ,4,"[('intrinsic', 0.8984), ('age', 0.8834), ('biological', 0.8677), ('humans', 0.8604), ('measure', 0.8523)]"
73,Which lifespan / health promoting interventions actually modulate intrinsic aging,4,"[('interventions', 0.8891), ('intrinsic', 0.8684), ('health', 0.8457), ('promoting', 0.8307)]"
74,What are the ultimate molecular causes of physiological aging ,4,"[('causes', 0.9006), ('physiological', 0.8902), ('molecular', 0.8611), ('ultimate', 0.8553)]"
75,What are epigenetic clocks measuring? ,4,"[('epigenetic', 0.9239), ('clocks', 0.9122), ('measuring', 0.884)]"
76,Why do genetically identical organisms (e.g. C57BL/6 mice) kept in identical environment (the same vivarium) still have roughly 2 fold variability in their lifespans (between the first dead mouse and the last dead mouse in an experiment)? ,4,"[('mice', 0.8833), ('identical', 0.881), ('lifespans', 0.8794), ('variability', 0.866), ('kept', 0.8411)]"
77,Does mutation accumulation cause aging! or it is simply a adaptive response to aging-stress. Considering this can we utilize some of the age associated mutations against aging!,4,"[('accumulation', 0.9015), ('mutation', 0.8992), ('stress', 0.8521), ('adaptive', 0.8479)]"
78,Can targeting inflammation in older age slow down the process of tissue aging.,4,"[('inflammation', 0.8889), ('older', 0.8638), ('tissue', 0.8559), ('slow', 0.8347), ('targeting', 0.8321)]"
79,Are there repair mechanisms that remove AGE-crosslinks in the extracellular matrix.,4,"[('crosslinks', 0.8985), ('repair', 0.884), ('mechanisms', 0.8584), ('remove', 0.8506), ('age', 0.8476)]"
80,How to reverse or restore cell function lost during aging?,4,"[('restore', 0.882), ('reverse', 0.88), ('cell', 0.8681), ('lost', 0.846)]"
81,How to quantify aging? (Clinical biomarkers/ of aging health),4,"[('quantify', 0.9037), ('biomarkers', 0.8908), ('clinical', 0.8645), ('health', 0.8642)]"
82,Can we live longer than 120 years?,4,"[('longer', 0.9047), ('years', 0.8793), ('120', 0.868), ('live', 0.8525)]"
83,What lifespan extension can we achieve if all hallmarks of aging are adressed at the same time?,4,"[('lifespan', 0.8875), ('hallmarks', 0.8612), ('extension', 0.8478), ('adressed', 0.84), ('achieve', 0.8233)]"
84,"Does fundamental molecular ageing (damage/program) exist and if so, does it cause and/or promote age-related diseases? If so, how? ",4,"[('molecular', 0.8899), ('damage', 0.883), ('exist', 0.866), ('promote', 0.8385)]"
85,"Do cell-intrinsic events (DNA damage, proteotoxic stress, mitochondrial dysfunction etc) cause ageing or ageing is caused by systemic factors (hormones, immune system) and/or tissue microenvironment (extracellular matrix, cell-cell communication, stem cell niche)?",4,"[('proteotoxic', 0.8892), ('intrinsic', 0.8627), ('tissue', 0.8584), ('factors', 0.855)]"
86,Why do genetically identical organisms (e.g. C57BL/6 mice) kept in identical environment (the same vivarium) still have roughly 2 fold variability in their lifespans (between the first dead mouse and the last dead mouse in an experiment)?,4,"[('mice', 0.8833), ('identical', 0.881), ('lifespans', 0.8794), ('variability', 0.866), ('kept', 0.8411)]"
87,"How can we link evolutionary mechanisms, particularly AP, to diseases of ageing?",4,"[('evolutionary', 0.8981), ('ap', 0.8881), ('diseases', 0.8724), ('mechanisms', 0.8688)]"
88,Can developments of programmatic theory describe the origins and mechanisms of emergence of diseases of aging?,4,"[('programmatic', 0.8871), ('diseases', 0.8805), ('emergence', 0.8713), ('theory', 0.8494)]"
89,"How can the multi-factorial origins of late life disease be reduced to a small number of general biological principles, drawing on the evolutionary theory of aging?",4,"[('disease', 0.8815), ('late', 0.8754), ('evolutionary', 0.867), ('principles', 0.8297)]"
90,"What are the mechanisms of evolutionary change that lead to major changes in longevity, especially in mammals? How is it that human beings live almost twice as long as chimps?",4,"[('evolutionary', 0.9023), ('mechanisms', 0.8897), ('changes', 0.8723), ('mammals', 0.8715)]"
91,Are there additional solute carrier (SLC) membrane transport proteins known to play roles associated with aging?,4,"[('slc', 0.9004), ('membrane', 0.858), ('associated', 0.8553), ('roles', 0.8474)]"
92,At what age is it appropriate to commence various anti-aging treatments? (5),4,"[('age', 0.9161), ('treatments', 0.8854), ('appropriate', 0.8747), ('anti', 0.8651), ('commence', 0.8471)]"
93,Are there pharmaceutical agents capable of specifically reprogramming epigenetic biomarkers associated with aging?,4,"[('epigenetic', 0.8822), ('reprogramming', 0.8765), ('biomarkers', 0.871), ('agents', 0.8593)]"
94,"In what manner can protein and lipid oxidation be quantitatively assessed, along with its quantitative alterations associated with aging? ",4,"[('quantitatively', 0.9002), ('oxidation', 0.8888), ('protein', 0.8822), ('alterations', 0.847)]"
95,How can we determine which drugs are aging-related and which ones merely impact lifespan (healthspan)? ,4,"[('drugs', 0.9099), ('lifespan', 0.9031), ('healthspan', 0.8928), ('impact', 0.8468)]"
96,"What is the list of ""chronic low-grade inflammatory-associated compounds"" that are currently considered aging-related?",4,"[('inflammatory', 0.884), ('chronic', 0.8672), ('compounds', 0.867), ('related', 0.8477)]"
97,Aging and the immune-neurohumoral homeostasis status of genders.,4,"[('genders', 0.8879), ('homeostasis', 0.8878), ('immune', 0.8814), ('status', 0.8612)]"
98,Is the Hispanic paradox sufficiently substantiated within scientific discourse?,4,"[('hispanic', 0.8966), ('paradox', 0.8831), ('scientific', 0.8547), ('substantiated', 0.8462), ('discourse', 0.8381)]"
99,Do longevity drugs retard aging?,4,"[('drugs', 0.8833), ('retard', 0.8419)]"
100,To what extent does inflammageing contribute to organismal ageing?,4,"[('inflammageing', 0.9357), ('organismal', 0.89), ('does', 0.8501), ('contribute', 0.8389)]"
101,What are the evolved public (universal) and private (species-specifc) longevity assurance genes for the essential lifespan of a species? ,4,"[('genes', 0.8766), ('assurance', 0.8765), ('universal', 0.8556), ('private', 0.8447)]"
102,"What is the nature of imperfections that limit the optimal functionality of the longevity assurance processes, and are they sexspecifc?",4,"[('sexspecifc', 0.9016), ('imperfections', 0.8895), ('assurance', 0.8837), ('processes', 0.835)]"
103,How does the regulation of biological time transitions across the life cycle occur?,4,"[('transitions', 0.8909), ('time', 0.8908), ('regulation', 0.8773), ('biological', 0.8664), ('cycle', 0.8494)]"
104,What are the quantitative and qualitative features of the homeodynamic space in terms of the health and survival ability of a biological system?,4,"[('homeodynamic', 0.9069), ('features', 0.8645), ('biological', 0.8569), ('space', 0.8528), ('qualitative', 0.8474)]"
105,"What determines heterogeneity in the rate and extent of age-related changes at various levels of biological organization, from molecules to the whole body and population levels?",4,"[('heterogeneity', 0.9046), ('age', 0.8764), ('biological', 0.8679), ('changes', 0.8493), ('determines', 0.8411)]"
106,How many diseases of ageing are caused by the trapping of citrate in the mitochondria,4,"[('citrate', 0.8957), ('mitochondria', 0.8726), ('caused', 0.8688), ('trapping', 0.8534)]"
107,How do we evaluate and compare epigenetic clocks within humans and with other species?,4,"[('epigenetic', 0.9063), ('clocks', 0.8857), ('evaluate', 0.8678), ('humans', 0.8657), ('compare', 0.8599)]"
108,Will the use of AI speed up age reversal discoveries in a much faster pace than previously expected?,4,"[('ai', 0.8848), ('reversal', 0.8683), ('speed', 0.8632), ('discoveries', 0.851), ('age', 0.8405)]"
109,Can senolytics and consequent compensative replication for replacing the removed senescent cells accelerate telomere shortening and/or increase replication errors?,4,"[('senolytics', 0.8873), ('replication', 0.8727), ('compensative', 0.868), ('errors', 0.8439), ('removed', 0.8411)]"
110,Should senolytics consumption dosage differ in different ages?,4,"[('senolytics', 0.9067), ('dosage', 0.8848), ('ages', 0.875), ('different', 0.8592), ('consumption', 0.8526)]"
111,How much do errors in biochemical synthesis of metabolites contribute to ageing?,4,"[('errors', 0.8878), ('metabolites', 0.8702), ('synthesis', 0.8299), ('contribute', 0.829)]"
112,How much does oxidation of proteins and lipids contribute to ageing? ,4,"[('oxidation', 0.9007), ('proteins', 0.886), ('lipids', 0.8714), ('contribute', 0.8288)]"
113,How much does deregulation of histone modification contribute to ageing?,4,"[('deregulation', 0.8969), ('modification', 0.8743), ('histone', 0.8715), ('contribute', 0.8204)]"
114,How much does deregulation of transcription factors contribute to ageing?,4,"[('deregulation', 0.9018), ('transcription', 0.8783), ('factors', 0.8681), ('contribute', 0.8273)]"
115,How much does deregulation of alternative splicing contribute to ageing?,4,"[('splicing', 0.8871), ('deregulation', 0.8856), ('alternative', 0.8716), ('contribute', 0.8318)]"
116,How much does deregulation of RNA methylation contribute to ageing?,4,"[('methylation', 0.8845), ('deregulation', 0.8836), ('rna', 0.8685), ('contribute', 0.8144)]"
117,How much does deregulation of miRNAs contribute to ageing?,4,"[('deregulation', 0.8998), ('mirnas', 0.8923), ('contribute', 0.8279), ('does', 0.819)]"
118,How much does deregulation of posttranslational modifications contribute to ageing?,4,"[('posttranslational', 0.8984), ('deregulation', 0.8903), ('modifications', 0.8736), ('contribute', 0.8294)]"
119,How much does deregulation of chemical messengers contribute to ageing?,4,"[('deregulation', 0.8823), ('chemical', 0.8615), ('messengers', 0.8562), ('contribute', 0.8285)]"
120,How much does excessive cell necrosis contribute to ageing?,4,"[('necrosis', 0.8868), ('excessive', 0.8753), ('cell', 0.8604), ('contribute', 0.8346)]"
121,How much does excessive cell autophagy contribute to ageing?,4,"[('autophagy', 0.9019), ('excessive', 0.893), ('cell', 0.8678), ('contribute', 0.8398)]"
122,How much do excessive cell cycle arrests contribute to ageing?,4,"[('excessive', 0.8684), ('cell', 0.8537), ('arrests', 0.8462), ('cycle', 0.826)]"
123,How much does stem cell exhaustion contribute to ageing?,4,"[('exhaustion', 0.8928), ('stem', 0.8731), ('cell', 0.8482), ('contribute', 0.8152)]"
124,How much does mitochondrial DNA damage contribute to ageing?,4,"[('damage', 0.8988), ('mitochondrial', 0.8897), ('dna', 0.8814), ('contribute', 0.8286)]"
125,How much does oxidative DNA damage contribute to ageing?,4,"[('oxidative', 0.9073), ('damage', 0.8956), ('dna', 0.8783), ('contribute', 0.8361)]"
126,How much does DNA damage response contribute to ageing?,4,"[('damage', 0.8972), ('dna', 0.8744), ('response', 0.8509), ('contribute', 0.8379)]"
127,How much does suboptimal efficiency of DNA repair systems contribute to ageing?,4,"[('suboptimal', 0.8841), ('repair', 0.8698), ('dna', 0.8672), ('efficiency', 0.8658)]"
128,How much does RNA polymerase stalling contribute to ageing?,4,"[('stalling', 0.8844), ('polymerase', 0.8707), ('rna', 0.8579), ('contribute', 0.8086)]"
129,"How much does the immune response to altered (oxidized, misfolded) molecules (e.g. oxLDL, beta amyloid, alpha synuclein) contribute to ageing?",4,"[('oxldl', 0.8912), ('immune', 0.8764), ('synuclein', 0.8673), ('alpha', 0.8628)]"
130,How much does the immune response to extracellular pathogens contribute to ageing?,4,"[('pathogens', 0.879), ('immune', 0.875), ('extracellular', 0.8588), ('contribute', 0.8423)]"
131,How much does the immune response to intracellular pathogens contribute to ageing?,4,"[('immune', 0.878), ('pathogens', 0.8758), ('intracellular', 0.8644), ('contribute', 0.8253)]"
132,How much does immune deficiency contribute to ageing?,4,"[('immune', 0.8972), ('deficiency', 0.855), ('contribute', 0.8274), ('does', 0.8091)]"
133,How much does immune cell clonal expansion contribute to ageing?,4,"[('immune', 0.8695), ('expansion', 0.8657), ('clonal', 0.8653), ('contribute', 0.8362)]"
134,How much does the involution of thymus contribute to ageing?,4,"[('involution', 0.9166), ('thymus', 0.8961), ('contribute', 0.8429), ('does', 0.8167)]"
135,How much does background ionizing radiation contribute to ageing?,4,"[('ionizing', 0.8948), ('background', 0.8804), ('contribute', 0.8196), ('does', 0.8051)]"
136,How much do background electromagnetic waves and fields contribute to ageing?,4,"[('electromagnetic', 0.8868), ('background', 0.8755), ('waves', 0.8557), ('contribute', 0.8422)]"
137,How much does gravity contribute to musculoskeletal and cardiovascular systems ageing?,4,"[('gravity', 0.8954), ('musculoskeletal', 0.8738), ('cardiovascular', 0.8701), ('contribute', 0.843)]"
138,How much do environmental heat and cold contribute to ageing?,4,"[('heat', 0.8795), ('cold', 0.8767), ('environmental', 0.8738), ('contribute', 0.8307)]"
139,"How much does UV radiation contribute to skin, eye and hair ageing?",4,"[('uv', 0.9095), ('hair', 0.8778), ('eye', 0.8743), ('contribute', 0.8397)]"
140,How much does the lack of sleep contribute to ageing?,4,"[('sleep', 0.8918), ('lack', 0.8657), ('contribute', 0.8266), ('does', 0.8196)]"
141,How much does insulin growth factor 1 contribute to ageing?,4,"[('insulin', 0.8897), ('factor', 0.8814), ('growth', 0.8669), ('contribute', 0.8447)]"
142,How much does somatotropin contribute to ageing?,4,"[('somatotropin', 0.9271), ('contribute', 0.8346), ('does', 0.8278)]"
143,How much does thyroxine contribute to aging?,4,"[('thyroxine', 0.9181), ('contribute', 0.8288), ('does', 0.8249)]"
144,How much does prolactin contribute to ageing?,4,"[('prolactin', 0.9213), ('contribute', 0.8377), ('does', 0.8253)]"
145,How much does oxytocin contribute to ageing?,4,"[('oxytocin', 0.919), ('contribute', 0.8277), ('does', 0.8229)]"
146,How much does testosterone contribute to ageing?,4,"[('testosterone', 0.9258), ('contribute', 0.8303), ('does', 0.8249)]"
147,How much does estrogen contribute to ageing?,4,"[('estrogen', 0.9213), ('does', 0.8177), ('contribute', 0.8164)]"
148,How much does autoimmunity contribute to ageing?,4,"[('autoimmunity', 0.9234), ('contribute', 0.8473), ('does', 0.814)]"
149,How much does the immune response to mutated cells contribute to ageing?,4,"[('immune', 0.8803), ('mutated', 0.8741), ('cells', 0.8551), ('contribute', 0.839)]"
150,How much does suboptimal telomerase activity contribute to ageing?,4,"[('telomerase', 0.9046), ('suboptimal', 0.8869), ('activity', 0.8562), ('contribute', 0.8128)]"
151,How much does chromosomal DNA damage contribute to ageing?,4,"[('damage', 0.8908), ('chromosomal', 0.8901), ('dna', 0.8797), ('contribute', 0.8359)]"
152,How much do chromosomal mutations contribute to ageing?,4,"[('chromosomal', 0.8938), ('mutations', 0.8862), ('contribute', 0.842)]"
153,How much do mutations in promoter and regulatory regions contribute to ageing?,4,"[('mutations', 0.8994), ('promoter', 0.8718), ('regulatory', 0.8567), ('contribute', 0.8398)]"
154,How much do errors in DNA replication contribute to ageing?,4,"[('errors', 0.8859), ('replication', 0.8769), ('dna', 0.8623), ('contribute', 0.8302)]"
155,How much does deregulation of DNA methylation contribute to ageing?,4,"[('deregulation', 0.8985), ('methylation', 0.8912), ('dna', 0.8634), ('contribute', 0.8186)]"
156,How much does excessive cell apoptosis contribute to ageing?,4,"[('apoptosis', 0.9003), ('excessive', 0.8866), ('contribute', 0.8393), ('does', 0.8211)]"
157,How much does suboptimal cell proliferation contribute to ageing?,4,"[('proliferation', 0.8882), ('suboptimal', 0.8881), ('contribute', 0.8187), ('does', 0.8109)]"
158,How much does SASP contribute to ageing?,4,"[('sasp', 0.9188), ('contribute', 0.8464), ('does', 0.8143)]"
159,How much does telomere shortening contribute to ageing?,4,"[('telomere', 0.9057), ('shortening', 0.8895), ('contribute', 0.8256), ('does', 0.819)]"
160,How much does the accumulation of intracellular and extracellular waste contribute to ageing?,4,"[('accumulation', 0.8897), ('waste', 0.8741), ('intracellular', 0.8731), ('contribute', 0.8463)]"
161,How much does deregulation of cellular signaling contribute to ageing?,4,"[('deregulation', 0.8917), ('signaling', 0.861), ('cellular', 0.8583), ('contribute', 0.8284)]"
162,How much does excessive cell death contribute to ageing?,4,"[('excessive', 0.8868), ('cell', 0.8674), ('death', 0.8591), ('contribute', 0.8335)]"
